word in context of text,specific word transliterated,Bhchr Citation,Translation
ܚܒܠܘ ܟܠܗ ܗܘܦܪܟܝܐ‏,hwprky,105:1,They destroyed the whole province
ܠܒܟܘܗܝ ܟܡܐ̈ܢܐ‏,"kmyn, kmynˀ, kmˀnˀ",108:25,they (in ambush) seized him
,"qrqs, qrqsˀ",11:1,
,"mktb, mktbˀ","127:1, 193:14",
,mwḥrm,138:11,
"קיְסא וקרבוניא‏	",qrbnyˀ,158:2,
ܐܠܦ ܢܝܦܓܗ ܟܢܘܛܫܪ̈ܐ ܡܘܫܟ‏,[nypgh],159:1,
,kyrt ˀydyˀ,159:19,
,kymyˀ,164:23,
ܦܪܘܟܣܝܡܘܣ ܐܘܟܝܬ ܘܲܙܝܪܐ‏,"wzyr, wzyrˀ",173:16,
ܦܪܘܟܣܝܡܘܣ ܐܘܟܝܬ ܘܲܙܝܪܐ‏,[prwksymws],173:16,
,"pygy, pygyˀ",174:8,
ܚܠܒܐ ܩܛܝܪܐ,qṭyr,177:6,
ܡܘܼܩܵܘ̈ܗܝ ܂܂܂ ܐܲܫܡܼܛܹܗ,šmṭ,184:1,
,"mwšḥh, mšwḥtˀ",196:6,
,šˁbˀn,204:10,
,šwˀl,205:18,
ܬܲܡܬܸܡ ܒܣܦ̈ܘܬܗ,tmtm,209:2,
ܠܒܝܫ ܗܘܐ ܡܪܛܘܛܐ ܘܫܲܪܒܵܠܵܐ ܚܸܠܵܠܵܝܹ̈ܐ,"ḥlly, ḥllyˀ",212:11,
,rbyˁ,213:9,
ܐܝܠܢ̈ܐ ܕܙܝ̈ܬܐ ܘܬܘ̈ܬܐ ܘܙܘ̈ܙܦܐ,"zwzp, zwzpˀ",216:9,
,[grmmṭyqy],219:21,
,nḥt,21:4,
ܒܐܘܪܚܐ ܕܚܲܓ̰,ḥg,224:11,
,gwzy,226:12,
,[ṭwgrˀ],231:8,
ܣܘܕܪܐ ܐܘܟܡܐ,"swdr, swdrˀ",237:7,
ܥܲܬܸܕ ܐܣܦܘܩܠܛܪ̈ܐ ܘܓܒܪ̈ܐ ܢܚܫܝܪ̈ܐ,"nḥšyr, nḥšyrˀ",243:24,
ܡܚܝܗܝ ܐܪܒܥܐ ܨܲܪ̈‍{‍ܒ‍}‍‍<‍ܦ‍>‍ܘܼܚܹܐ,ṣrpwḥˀ,248:10,
,zwrqˀ,"252:23,327:7",
ܡܝܬ ܂܂܂ ܒܟܘܪܗܢܐ ܕܚܢܘܩ̈ܐ,"ḥnwq, ḥnwqˀ",253:10,
ܒܲܕܘܵܝܵܐ ܚܕ,"bdwy, bdwyˀ",253:3,
ܫܘܪܘ ܥܠܘܗܝ ܘܩܛܼܠܘܗܝ‏,šwr,255:18,
ܛܠܝܣ ܡܝܠܝܣܝܐ ܩܕܡܝܐ ܦܘܣܝܩܘܣ ܐܘܟܝܬ ܟܝܢܝܐ ܡܬܝܕܥ ܗܘܐ,[pwsyqws],25:6,
,nky,"260:10,472:27,505:19",
ܐܬܢ̱ܦܲܚ ܒܪܘܚܗ,npḥ,272,
ܦܩܚܐ ܕܠܝܢܘܦܪ,[nylwpr],280:1,
ܬܪܝܢ ܓܒܪ̈ܐ ܦܲܩܝܼ̈ܗܹܐ‏,"pqyh, pqyhˀ",281:5,
ܐܨܛܲܪܝ ܬܠܓܐ,ṣry,283:19,
ܨܪܘ ܠܛܘܪܐ‏,ṣry,283:20,
ܒܝܘܡ ܐܪܒܥܐ ܕܫܒܬܐ ܕܚܸܘܵܪܹ̈ܐ‏,ḥwr,284:14,
,"gzrh, gzrtˀ",286:23,
,"sṭr, sṭrˀ",286:24,
,sygylywn,"287:4,548:12",
"	ܒܲܙ ܠܬܘܪ̈ܟܡܵܢܵܝܸܐ ܘܟܘܪ̈ܕܝܐ‏",twrkmny,288:3,
,mgysṭy,28:11,
ܐܣܛܕܝܘܢ ܃ܗ܊܃ ܡܲܝܕܵܐܢ‏,[mydˀn],309:23,
,"swq, swqˀ",324:23,
,"šwny, šwnyˀ","32:11,397:14",
ܐܦܪܝܩܝܢܘܣ ܕܝܩܛܛܘܪ ܕܪ̈ܗܘܡܝܐ,[dyqṭṭwr],32:15,
ܓܚܸܟ ܒܩܘܬܼܩܬܼܵܐ,"qwtqt, qwtqtˀ",346:23,
,byt dršˀ,"347:10,466:16,529:15,555:6",
,ḥzbˀ,"34:27,281:20",
ܟܘܪܗܢܐ ܕܐܪܝܢܘܬܐ‏,"ˀrynw, ˀrynwtˀ",353:15,
ܘܐܲܦܢܝܘ ܚܲܨܵܐ,"ḥṣ, ḥṣˀ",353:24,
"	ܡܲܝܣܛܸܪ ܕܲܦܿܪܹܪ̈ܝܹܐ‏",[mysṭr],354:24,
ܚܝܠܐ ܕܕܪ̈ܡܣܘܩܝܐ,drmswqy,355:21,
,"mgrph, mgrptˀ",356:4,
,mwṣly,357:13,
ܚܠܒܝ̈ܐ ܒܢܝ̈ ܡܕܝܢܬܐ,ḥlby,358:1,
,yˀrwqy,358:1,
,"ḥbwr, ḥbwrˀ","358:20,359:27",
ܟܠܗܘܢ ܡܲܪ̈ܕܢܵܝܹܐ ܘܡܘ̈ܨܠܝܐ ܘܕܒܝܬ ܫܐܗܐܪܡܢ,mrdny,360:22,
,qwrˀn,363:11,
,[mtrwdyṭws],"36:14,221:2",
ܩܵܐܨܿܝܼ‏,qˀṣy,"386:20,396:4",
,kwntˀ,"388:1,578:22",
,qwlwsws,38:16,
ܐܡܚܠܘ ܛܝܝ̈ܐ ܩܠܝܠ‏,mḥl,390:3,
,kwnd,392:16,
,rṣp,39:11,
ܦܠܓܘܬܐ ܩܕܡܝܬܐ ܕܟܪܘܢܓܪܦܝܐ,[krwnwgrpyˀ],3:2,
ܡܢ ܦܢܝܬܐ ܕܡܠܟ ܥܙܝܙ‏,"pny, pnytˀ",401:1,
ܕܝܢܪ̈ܐ ܐܩܓܐ ܗ܊ ܚܘܪ̈ܐ‏,[ˀqgˀ],407:22,
,mtˀrznwtˀ,412:15,
ܬܠܬܐ ܒܸܣܕܝ̈ܐ ܕܣܐܡܐ ܬܒܲܥ܂ ܟܠ ܒܣܕܝܐ ܫܒܥܡܐܐ ܙܘ̈ܙܐ,"bsdy, bsdyˀ, by sdyˀ",414:2-3,
ܐܬܒܢܝ ܗܝܟܠܐ ܫܲܪܘܵܝܵܐ‏,šrwy,41:1,
ܓܒܪܐ ܙܝܥܐ ܘܥܪܝܡܐ‏,zyˁ,426:14,
,[mḥrˀb],438:9,
,[bˀrwn],442:18,
,ˀmyr ˀkwr,457:1,
,[qwnṭwsṭbl],"479:15,533:8",
,[šyk],485:18,
ܡܥܒܪ̈ܢܐ ܕܢܗܪ̈ܘܬܐ‏,"mˁbrn, mˁbrnˀ",485:25,
ܠܒܝܫ ܠܒܘ̈ܫܐ ܕܦܲܩܝܪܹ̈ܐ‏,"pqyr, pqyrˀ",494:3,
ܫܕܪ ܝܪܠܝܟ܃ ܐܘ ܟܝܬ ܦܘܩܕܢܐ‏,"[yrlyk, yrlyq]",497:22,
ܕܐܬܬܟܣܪ‏,ˀksr,502:14,
,[dwytdˀr],"503:26,504:8",
ܐܟܪܲܗ ܢܦܫܹܗ܃ ܘܲܕܡܸܟ ܡܿܢ ܒܒܝܬܗ,krh,562:11,
ܝܬܝܪ ܡܬܩܠܲܛ ܗܘܐ‏,qlṭ,565:13,
,[ṣˀḥb dywˀn],573:3,
,ḥsr,574:6,
ܚܘܲܚܼ ܘܪܘܙ ܟܕ ܕܐܿܨ ܘܚܕܐ‏,ḥwḥ,591:12,
ܩܢܘܡܐܝܬ ܂܂܂ ܘܦܪܨܘܦܢܐܝܬ ܢܦܓܥ ܒܗ‏,prṣwpnˀyt,594:8,
ܫܡܗ ܠܡ ܡܢ ܫܘܦܪܐ ܘܢܘܗܪܐ ܘܐܣܝܘܬܐ ܐܛܘܡܘܠܘܓܝܣܐ ܥܒܝܕ,[ˀṭwmwlwgysˀ],6:12,
ܐܢܫ ܣܛܵܣܝܼܪܵܐ ܘܓܢܒܐ,sṭsyr,76:21,
"	ܬܡܢܐ ܦܘ̈ܕܝܬܐ‏","pwdy, pwdytˀ",81:27,
,trqy,82:8,
ܙܲܢܛܵܐ ܐܘܟܝܬ ܟܐܒܐ ܕܫܪܥܘܛܐ,znṭˀ,96:18,
ܚܘܪܪ ܥܒ̈ܕܐ‏,"ḥwrr, ḥwrrˀ",98:20,
ܒܫܪܒ ܡܠܟܘܬܐ‏,"šrb, šrbˀ",98:26,
